,Id,Immobilisations incorporelles,Immobilisations corporelles,Actifs financiers non courants,Stocks et travaux en-cours,Créances clients et comptes rattachés,Trésorerie et équivalents de trésorerie,Total actif,Capitaux propres,Provisions pour risques et charges non courantes,Dettes financières non courantes,Dettes financières courantes,Fournisseurs et comptes rattaches,Total passif,Chiffre d'affaires,Produits des activités ordinaires,Résultat opérationnel,Coût de l'endettement financier net,Quote part resultats des Sociétés Mises en Equivalence,RN des activités abandonnées,Résultat net
1064,1065,1433000.0,2627000.0,266000.0,,1204000.0,99500.0,679832.0,2299000,763000.0,2377000.0,138100.0,965000.0,679832.0,0,0,0,0,0,0,0
1065,1066,1739.0,3026000.0,47.0,,1131000.0,107842.0,754861.0,-5418000,762000.0,2663000.0,106021.0,1037000.0,754861.0,0,1 414 000,1 561,-2 056,-338,0,7 877 102
1066,1067,1572.0,2828000.0,54.0,,449.0,136214.0,806927.0,16718400,818000.0,20381.0,16317.0,905000.0,806927.0,0,1 346 000,1 027,1 864,-224,0,9 642 195
1067,1068,1417.0,171.0,67.0,,236.0,219215.0,865068.0,18207400,913000.0,17535.0,142625.0,987000.0,865068.0,0,1 390 700,2 632,1 678,295,0,10 000 087
1068,1069,0.0,153.0,0.0,,197.0,241900.0,1418512.0,19324400,,22546.0,736600.0,15483.0,1418512.0,0,1 435 200,10 517,2 177,0,0,-6 550 819
1069,1070,118.0,2172.0,599.0,,0.0,105000.0,1600614.0,19004600,,0.0,543100.0,15036.0,1600614.0,0,0,0,0,0,0,0
1070,1071,188.0,0.0,603.0,,7217.0,53300.0,1759113.0,13351000,,0.0,716900.0,15003.0,1759113.0,1 937 000,40 448 000,231 592,431 500,0,0,17 277
1071,1072,174.0,1268.0,619.0,,8169.0,1214000.0,1751000.0,9719000,,0.0,763800.0,0.0,1751000.0,3 282 000,44 354 000,243 015,273 200,0,0,-14 744
1072,1073,0.0,973.0,0.0,,6323.0,17598.0,21222200.0,5990000,,0.0,14242.0,359.0,21222200.0,4 049 000,48 951 000,261 059,261 400,0,0,1 406
1073,1074,2302000.0,2873.0,170000.0,,0.0,14175.0,23254300.0,6456000,,2242.0,11167.0,375.0,23254300.0,1 621 000,44 118 000,277 561,241 000,0,0,10 700
1074,1075,3053000.0,0.0,517000.0,,403000.0,7111.0,25587900.0,229494,,0.0,2987.0,378.0,25587900.0,0,0,0,0,0,0,0
1075,1076,3049000.0,662000.0,603000.0,,617000.0,9000.0,25088000.0,266258,,2768000.0,3400.0,0.0,25088000.0,431 648,861 882,118 300,1 100,-3 173,0,-32 274
1076,1077,2667000.0,1183000.0,374000.0,,649000.0,1543000.0,14361000.0,258673,,2760000.0,237000.0,398000.0,14361000.0,433 320,868 932,97 100,800,1 320,0,8 026
1077,1078,34527.0,632000.0,13154.0,,534000.0,1761000.0,13246000.0,478237,,3281000.0,484000.0,627000.0,13246000.0,476 520,938 342,111 000,9 100,-3 895,0,-18 804
1078,1079,47601.0,242000.0,13696.0,,118378.0,1686000.0,13410000.0,362149,,2788000.0,619000.0,669000.0,13410000.0,520 411,934 198,109 800,24 500,-3 000,0,-17 231
1079,1080,55885.0,29093.0,14386.0,,125065.0,804000.0,13008000.0,409448,,60474.0,1426000.0,532000.0,13008000.0,0,0,0,0,0,0,0
1080,1081,60882.0,33326.0,13082.0,,150262.0,102435.0,923028.0,454032,,97559.0,244000.0,52351.0,923028.0,19 469,12 518 000,4 404 000,54 406,0,0,126 940
1081,1082,0.0,55210.0,24.0,,140223.0,25673.0,1024576.0,507645,,79053.0,201000.0,55471.0,1024576.0,47 389,13 932 000,4 920 000,50 327,1 122,0,187 199
1082,1083,65.0,83868.0,212.0,,30.0,16721.0,1173407.0,467281,,133904.0,661000.0,79594.0,1173407.0,2 143,15 898 000,5 664 000,44 168,1 574,0,167 516
1083,1084,115.0,8980.0,130.0,,3.0,37472.0,1356600.0,492782,,5781.0,134000.0,85282.0,1356600.0,0,16 090 000,2 459 000,0,-133,0,139 609
1084,1085,70.0,8731.0,0.0,,360.0,1438000.0,8592800.0,520514,,4892.0,,4931.0,8592800.0,0,0,0,0,0,0,0
1085,1086,0.0,9535.0,125000.0,,0.0,1441000.0,8027100.0,532000,,18518.0,,7546.0,8027100.0,3 617 000,300 102,58 048,-18,-570,0,107 813
1086,1087,2676000.0,0.0,377000.0,,641000.0,1407000.0,9087900.0,3398200,,0.0,,5326.0,9087900.0,4 007 000,300 240,64 993,0,0,33,139 452
1087,1088,3361000.0,6793000.0,403000.0,,628000.0,1587000.0,8950000.0,3667900,,5271000.0,,0.0,8950000.0,4 700 000,300 416,97 970,0,0,0,99 985
1088,1089,3114000.0,7272000.0,682000.0,,609000.0,38789.0,1418313.0,4028800,,5909000.0,,422000.0,1418313.0,2 137 000,274 625,185 662,0,0,0,-124 242
1089,1090,2648000.0,7930000.0,374000.0,,572000.0,11560.0,1661581.0,4195000,,6011000.0,,590000.0,1661581.0,0,0,0,0,0,0,0
1090,1091,774.0,8084000.0,71137.0,,10683.0,5695.0,2050138.0,3328000,,9370000.0,,679000.0,2050138.0,25 864 000,338 732,1 018 000,250,121 200,0,956 000
1091,1092,1408.0,224.0,50700.0,,12527.0,0.0,0.0,3713000,,230799.0,,682000.0,0.0,26 512 000,359 919,1 182 000,200,115 900,0,642 000
1092,1093,463.0,400.0,43056.0,,12077.0,7939.0,1134391.0,3430000,,221420.0,,3463.0,1134391.0,27 188 000,391 530,1 381 000,-2,129 800,0,394 000
1093,1094,105.0,393.0,8286.0,,7759.0,6958.0,1150078.0,4159000,,223030.0,,3892.0,1150078.0,11 088 000,422 042,1 468 000,0,110 500,0,-1 070 000
1094,1095,1122000.0,345.0,2071000.0,,1868000.0,7788.0,1127053.0,3328000,,296352.0,,4298.0,1127053.0,0,0,0,0,0,0,0
1095,1096,1194000.0,11054000.0,2082000.0,,2164000.0,0.0,736690.0,786650,,9859000.0,,11169.0,736690.0,20 349 300,8 347 600,20 993,71 000,0,347 200,-559 729
1096,1097,1305000.0,11670000.0,1757000.0,,2191000.0,1063000.0,1692500.0,792929,,9279000.0,,2365000.0,1692500.0,21 011 100,8 405 400,21 839,50 000,0,171 500,-500 367
1097,1098,1230000.0,12914000.0,1102000.0,,2164000.0,2820000.0,1736319.0,1013220,,9420000.0,,2460000.0,1736319.0,21 920 100,8 581 400,23 137,58 000,0,604 100,-340 103
1098,1099,1611100.0,12579000.0,672100.0,,1248000.0,2280000.0,1810781.0,1128200,,16596000.0,,2379000.0,1810781.0,20 485 200,7 465 400,20 335,53 000,0,-101 200,-1 328 000
1099,1100,1598700.0,18525900.0,600300.0,,2900000.0,2474000.0,1657936.0,3164700,,12522400.0,,1435000.0,1957676.0,0,0,0,0,0,0,0
1100,1101,1555000.0,19248700.0,672300.0,,2500400.0,27346.0,8171200.0,3237300,,11709600.0,,2446400.0,8171200.0,66 767 000,1 593 900,35 620,2 129,5 653,100,-11 482
1101,1102,1397800.0,19855300.0,693400.0,,2477900.0,45579.0,7940400.0,3335500,,12655000.0,,2714500.0,7940400.0,63 707 000,1 720 200,46 756,2 596,3 737,-800,3 264
